time,global_base_link_position.x,global_base_link_position.y,global_base_link_position.z,global_base_link_rotation.x,global_base_link_rotation.y,global_base_link_rotation.z,global_base_link_rotation.w,bsae_linear_vel_x,bsae_linear_vel_y,bsae_linear_vel_z,bsae_angular_vel_x,bsae_angular_vel_y,bsae_angular_vel_z,local_Link_head_yaw_rotation,local_Link_head_pitch_rotation,local_Link_arm_l_01_rotation,local_Link_arm_l_02_rotation,local_Link_arm_l_03_rotation,local_Link_arm_l_04_rotation,local_Link_arm_l_05_rotation,local_Link_arm_l_06_rotation,local_Link_arm_l_07_rotation,local_Link_arm_r_01_rotation,local_Link_arm_r_02_rotation,local_Link_arm_r_03_rotation,local_Link_arm_r_04_rotation,local_Link_arm_r_05_rotation,local_Link_arm_r_06_rotation,local_Link_arm_r_07_rotation,local_Link_waist_pitch_rotation,local_Link_waist_roll_rotation,local_Link_waist_yaw_rotation,local_Link_hip_l_roll_rotation,local_Link_hip_l_yaw_rotation,local_Link_hip_l_pitch_rotation,local_Link_knee_l_pitch_rotation,local_Link_ankle_l_pitch_rotation,local_Link_ankle_l_roll_rotation,local_Link_hip_r_roll_rotation,local_Link_hip_r_yaw_rotation,local_Link_hip_r_pitch_rotation,local_Link_knee_r_pitch_rotation,local_Link_ankle_r_pitch_rotation,local_Link_ankle_r_roll_rotation
0.141666667,0.010630443,0,1.140855074,0,0,0,1,0.155202657,0,0,0,0,0,0,0,0.009535748,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001095458,-0.000519081,-0.011728688,-0.003350182,0.00476019,7.59E-07,-0.000546738,-0.003164931,0.09610136,-0.070228382,0.034156247,1.63E-07
0.145833333,0.011298214,0,1.140855074,0,0,0,1,0.160265103,0,0,0,0,0,0,0,0.00999746,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001092835,-0.000548883,-0.012565299,-0.003372117,0.005527302,6.40E-07,-0.00050716,-0.003349706,0.101354317,-0.074475213,0.035008951,2.82E-07
0.15,0.01198715,0,1.140855074,0,0,0,1,0.165344536,0,0,0,0,0,0,0,0.010461767,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001090332,-0.000579639,-0.01342754,-0.003396674,0.006313845,8.78E-07,-0.000465437,-0.003540202,0.106702165,-0.078833624,0.035759374,5.21E-07
0.154166667,0.012697319,0,1.140855074,0,0,0,1,0.17044051,0,0,0,0,0,0,0,0.01092802,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001087709,-0.00061123,-0.014315172,-0.003424569,0.007119342,5.21E-07,-0.000421329,-0.003736301,0.112139181,-0.083298488,0.036401316,2.82E-07
0.158333333,0.013428796,0,1.140855074,0,0,0,1,0.175554588,0,0,0,0,0,0,0,0.01139557,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001084967,-0.000643774,-0.015228434,-0.003455087,0.007943436,7.59E-07,-0.000375076,-0.003938003,0.117658929,-0.08786337,0.036925956,5.21E-07
0.1625,0.014181648,0,1.140855074,0,0,0,1,0.180684537,0,0,0,0,0,0,0,0.011863767,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001082345,-0.000677152,-0.016167208,-0.003489061,0.008785768,7.59E-07,-0.000326558,-0.00414507,0.123255209,-0.092520519,0.037328049,1.63E-07
0.166666667,0.014955951,0,1.140855074,0,0,0,1,0.18583259,0,0,0,0,0,0,0,0.012331966,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001079722,-0.000711485,-0.017131492,-0.003526374,0.009645863,7.59E-07,-0.000275775,-0.004357501,0.128919677,-0.097262188,0.037597342,2.82E-07
0.170833333,0.015751775,0,1.140855074,0,0,0,1,0.190997854,0,0,0,0,0,0,0,0.012799517,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.0010771,-0.000746651,-0.018121286,-0.003567501,0.010523244,7.59E-07,-0.000222488,-0.004574939,0.134645299,-0.102078482,0.037727996,4.01E-07
0.175,0.016569192,0,1.140855074,0,0,0,1,0.196179882,0,0,0,0,0,0,0,0.01326577,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001074477,-0.000782772,-0.019136473,-0.003612443,0.011417433,5.21E-07,-0.000167056,-0.004797502,0.140423969,-0.106959148,0.037714048,2.82E-07
0.179166667,0.017408269,0,1.140855074,0,0,0,1,0.20137845,0,0,0,0,0,0,0,0.013730077,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001071735,-0.000819727,-0.02017717,-0.003661915,0.012328072,6.40E-07,-0.00010912,-0.005024596,0.146245913,-0.111893102,0.037548467,2.82E-07
0.183333333,0.018269079,0,1.140855074,0,0,0,1,0.206594452,0,0,0,0,0,0,0,0.01419179,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001069113,-0.000857635,-0.021243258,-0.003715678,0.013254567,7.59E-07,-4.88E-05,-0.00525622,0.152102546,-0.116867109,0.037225529,2.82E-07
0.1875,0.019151697,0,1.140855074,0,0,0,1,0.211828336,0,0,0,0,0,0,0,0.01465026,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.00106649,-0.000896378,-0.022334858,-0.003773971,0.01419632,6.40E-07,1.37E-05,-0.005492016,0.157984809,-0.121868535,0.036740108,5.21E-07
